name,type,period_start,period_end,commits,commit_ratio,added_lines,added_lines_ratio,deleted_lines,deleted_lines_ratio,add_minus_del,add_minus_del_ratio,contributors,contributor_ratio,files,files_ratio
https://github.com/gibis-unifesp/wiredpanda,overall,2025-07-31T17:28:55+00:00,2026-02-21T10:19:20.442474+00:00,117,81.197,106228,71.55,49969,41.922,56259,97.865,5,20.0,441,99.546
https://github.com/githubnext/gh-aw,overall,2025-08-13T04:39:43+00:00,2026-02-21T09:39:02.906372+00:00,6854,78.713,4295055,90.485,2568177,81.493,1726878,103.857,39,61.538,5347,94.838
https://github.com/gitpod-io/leeway,overall,2025-09-09T13:26:12+00:00,2026-02-21T20:10:45.027635+00:00,182,97.253,22713,99.934,4363,99.702,18350,99.989,5,80.0,66,100.0
https://github.com/go-kivik/kivik,overall,2026-02-03T20:13:51+00:00,2026-02-22T21:19:50.623748+00:00,159,76.73,14279,84.635,13192,88.144,1087,42.042,3,66.667,410,96.829
https://github.com/gradion-ai/freeact,overall,2026-01-06T14:29:42+00:00,2026-02-21T18:17:58.995332+00:00,52,76.923,42381,38.416,51547,42.604,-9166,61.968,1,100.0,332,60.542
https://github.com/GreenBeanGravy/FA11y,overall,2025-11-12T03:42:26+00:00,2026-02-23T10:14:33.173913+00:00,235,75.745,286889,7.83,266519,4.687,20370,48.94,4,50.0,1479,3.584
https://github.com/guyernest/step-functions-agent,overall,2025-02-28T02:14:21+00:00,2026-02-22T05:40:04.897749+00:00,357,75.63,4323164,98.965,4009558,49.969,313606,725.4,1,100.0,24528,99.478
https://github.com/HelloEveryboby/Butler,overall,2025-08-19T16:56:12+00:00,2026-02-21T16:48:53.392018+00:00,94,82.979,19220,92.461,10775,84.594,8445,102.499,2,50.0,205,96.098
https://github.com/high-moctane/mocrelay,overall,2025-10-13T16:36:41+00:00,2026-02-22T09:32:21.535194+00:00,105,90.476,20543,96.14,19539,99.596,1004,28.884,2,50.0,148,100.0
https://github.com/hotkids/rules,overall,2026-02-09T05:48:20+00:00,2026-02-21T00:44:25.780587+00:00,120,88.333,312727,99.976,3597,97.943,309130,100.0,3,33.333,288,93.403
https://github.com/ibis-coordination/Harmonic,overall,2026-01-04T23:00:33+00:00,2026-02-23T15:03:21.668156+00:00,337,90.504,836589,98.716,74054,98.972,762535,98.691,2,50.0,1676,98.449
https://github.com/icloud-photos-downloader/icloud_photos_downloader,overall,2025-08-28T22:43:25+00:00,2026-02-20T22:06:12.432467+00:00,50,90.0,7053,99.334,5027,93.237,2026,114.462,2,100.0,94,96.809
https://github.com/inabagumi/shinju-date,overall,2025-10-17T10:51:08+00:00,2026-02-22T21:08:04.202495+00:00,254,77.559,82558,94.561,32943,77.23,49615,106.069,5,80.0,758,93.931
https://github.com/intelligence-assist/claude-hub,overall,2025-05-20T17:01:59+00:00,2026-02-21T15:39:39.799991+00:00,196,82.653,68131,89.624,23270,93.15,44861,87.796,7,85.714,322,91.615
https://github.com/ismaelmartinez/teams-for-linux,overall,2025-04-08T19:44:43+00:00,2026-02-22T05:25:06.811750+00:00,225,80.889,92101,95.771,39146,87.368,52955,101.983,30,30.0,459,93.9
https://github.com/ityonemo/vsr,overall,2025-06-28T18:17:42+00:00,2026-02-20T23:58:32.476453+00:00,212,88.208,29036,54.98,12304,26.325,16732,76.052,2,100.0,138,61.594
https://github.com/janreges/ai-distiller,overall,2025-06-12T18:01:00+00:00,2026-02-22T23:10:04.991976+00:00,267,83.146,686351,97.863,67926,83.428,618425,99.449,1,100.0,1424,99.017
https://github.com/jasonxudeveloper/nino,overall,2025-07-24T04:10:18+00:00,2026-02-23T06:11:56.376709+00:00,225,75.111,72057,83.02,54965,79.03,17092,95.852,7,42.857,325,86.154
https://github.com/jbohnslav/opencv_transforms,overall,2025-08-03T22:24:04+00:00,2026-02-21T01:35:48.862184+00:00,66,95.455,10511,99.952,3855,91.18,6656,105.033,1,100.0,71,100.0
https://github.com/jdereg/java-util,overall,2025-05-21T12:39:45+00:00,2026-02-23T13:41:59.457555+00:00,979,84.985,181716,98.033,76291,92.086,105425,102.336,14,92.857,550,99.273
https://github.com/jdereg/json-io,overall,2025-05-26T20:10:50+00:00,2026-02-21T12:17:34.396832+00:00,576,84.896,87546,80.611,36110,58.023,51436,96.469,22,86.364,924,98.81
https://github.com/jexactyl/jexactyl,overall,2025-12-11T20:53:26+00:00,2026-02-22T20:01:42.405411+00:00,162,84.568,38186,97.892,35992,99.2,2194,76.436,9,11.111,108,71.296
https://github.com/jhhtaylor/tabstronaut,overall,2025-06-03T19:40:51+00:00,2026-02-21T16:44:12.439012+00:00,104,75.0,5631,64.269,1998,88.038,3633,51.197,4,50.0,65,40.0
https://github.com/johnynek/bosatsu,overall,2026-02-06T03:19:16+00:00,2026-02-20T23:03:10.911799+00:00,111,81.081,56389,74.69,15401,68.379,40988,77.062,6,33.333,270,81.111
